#,DateTime,Temperature_C,Event,mm
,6/10/2022 20:52,,201,0.254
,6/10/2022 21:00,10.455,,
,6/10/2022 21:06,,202,0.254
,6/10/2022 21:16,,203,0.254
,6/10/2022 21:48,,204,0.254
,6/10/2022 22:00,9.472,,
,6/10/2022 22:01,,205,0.254
,6/10/2022 22:15,,206,0.254
,6/10/2022 22:19,,207,0.254
,6/10/2022 22:23,,208,0.254
,6/10/2022 22:29,,209,0.254
,6/10/2022 22:40,,210,0.254
,6/10/2022 22:56,,211,0.254
,6/10/2022 23:00,8.779,,
,6/10/2022 23:21,,212,0.254
,6/11/2022 0:00,8.382,,
,6/11/2022 0:32,,213,0.254
,6/11/2022 0:42,,214,0.254
,6/11/2022 0:51,,215,0.254
,6/11/2022 1:00,8.182,,
,6/11/2022 1:00,,216,0.254
,6/11/2022 1:05,,217,0.254
,6/11/2022 1:09,,218,0.254
,6/11/2022 1:12,,219,0.254
,6/11/2022 1:17,,220,0.254
,6/11/2022 1:22,,221,0.254
,6/11/2022 1:26,,222,0.254
,6/11/2022 1:30,,223,0.254
,6/11/2022 1:36,,224,0.254
,6/11/2022 1:40,,225,0.254
,6/11/2022 1:46,,226,0.254
,6/11/2022 1:49,,227,0.254
,6/11/2022 1:52,,228,0.254
,6/11/2022 1:55,,229,0.254
,6/11/2022 2:00,8.082,,
,6/11/2022 2:03,,230,0.254
,6/11/2022 2:11,,231,0.254
,6/11/2022 2:16,,232,0.254
,6/11/2022 2:18,,233,0.254
,6/11/2022 2:20,,234,0.254
,6/11/2022 2:23,,235,0.254
,6/11/2022 2:26,,236,0.254
,6/11/2022 2:28,,237,0.254
,6/11/2022 2:33,,238,0.254
,6/11/2022 2:39,,239,0.254
,6/11/2022 2:44,,240,0.254
,6/11/2022 2:53,,241,0.254
,6/11/2022 3:00,7.882,,
,6/11/2022 3:04,,242,0.254
,6/11/2022 3:06,,243,0.254
,6/11/2022 3:09,,244,0.254
,6/11/2022 3:12,,245,0.254
,6/11/2022 3:15,,246,0.254
,6/11/2022 3:19,,247,0.254
,6/11/2022 3:22,,248,0.254
,6/11/2022 3:25,,249,0.254
,6/11/2022 3:28,,250,0.254
,6/11/2022 3:31,,251,0.254
,6/11/2022 3:37,,252,0.254
,6/11/2022 3:39,,253,0.254
,6/11/2022 3:42,,254,0.254
,6/11/2022 3:51,,255,0.254
,6/11/2022 4:00,7.882,,
,6/11/2022 4:05,,256,0.254
,6/11/2022 4:23,,257,0.254
,6/11/2022 4:27,,258,0.254
,6/11/2022 4:31,,259,0.254
,6/11/2022 4:35,,260,0.254
,6/11/2022 4:42,,261,0.254
,6/11/2022 4:46,,262,0.254
,6/11/2022 4:49,,263,0.254
,6/11/2022 4:52,,264,0.254
,6/11/2022 4:55,,265,0.254
,6/11/2022 4:58,,266,0.254
,6/11/2022 5:00,8.282,,
,6/11/2022 5:01,,267,0.254
,6/11/2022 5:04,,268,0.254
,6/11/2022 5:07,,269,0.254
,6/11/2022 5:12,,270,0.254
,6/11/2022 5:15,,271,0.254
,6/11/2022 5:17,,272,0.254
,6/11/2022 5:20,,273,0.254
,6/11/2022 5:26,,274,0.254
,6/11/2022 5:30,,275,0.254
,6/11/2022 5:35,,276,0.254
,6/11/2022 5:41,,277,0.254
,6/11/2022 5:48,,278,0.254
,6/11/2022 5:52,,279,0.254
,6/11/2022 6:00,8.581,,
,6/11/2022 6:19,,280,0.254
,6/11/2022 6:27,,281,0.254
,6/11/2022 6:54,,282,0.254
,6/11/2022 6:56,,283,0.254
,6/11/2022 6:57,,284,0.254
,6/11/2022 6:59,,285,0.254
,6/11/2022 7:00,9.077,,
,6/11/2022 7:01,,286,0.254
,6/11/2022 7:03,,287,0.254
,6/11/2022 7:06,,288,0.254
,6/11/2022 7:13,,289,0.254
,6/11/2022 7:37,,290,0.254
,6/11/2022 7:50,,291,0.254
,6/11/2022 7:54,,292,0.254
,6/11/2022 8:00,10.748,,
,6/11/2022 8:04,,293,0.254
,6/11/2022 9:00,11.139,,
,6/11/2022 9:49,,294,0.254
,6/11/2022 9:51,,295,0.254
,6/11/2022 9:51,,296,0.254
,6/11/2022 9:53,,297,0.254
,6/11/2022 9:54,,298,0.254
,6/11/2022 9:54,,299,0.254
,6/11/2022 9:56,,300,0.254
,6/11/2022 9:59,,301,0.254
,6/11/2022 10:00,17.379,,
,6/11/2022 10:01,,302,0.254
,6/11/2022 10:04,,303,0.254
,6/11/2022 10:07,,304,0.254
,6/11/2022 10:09,,305,0.254
,6/11/2022 10:12,,306,0.254
,6/11/2022 10:21,,307,0.254
,6/11/2022 11:00,15.187,,
,6/11/2022 12:00,21.951,,
,6/11/2022 13:00,18.806,,
,6/11/2022 13:24,,308,0.254
,6/11/2022 13:39,,309,0.254
,6/11/2022 13:43,,310,0.254
,6/11/2022 13:49,,311,0.254
,6/11/2022 14:00,14.038,,
,6/11/2022 14:01,,312,0.254
,6/11/2022 15:00,24.158,,
,6/11/2022 16:00,23.581,,
,6/11/2022 16:21,,313,0.254
,6/11/2022 16:23,,314,0.254
,6/11/2022 16:23,,315,0.254
,6/11/2022 16:24,,316,0.254
,6/11/2022 16:24,,317,0.254
,6/11/2022 16:25,,318,0.254
,6/11/2022 16:26,,319,0.254
,6/11/2022 16:27,,320,0.254
,6/11/2022 16:32,,321,0.254
,6/11/2022 17:00,14.23,,
,6/11/2022 18:00,12.98,,
,6/11/2022 18:44,,322,0.254
,6/11/2022 18:49,,323,0.254
,6/11/2022 18:52,,324,0.254
,6/11/2022 18:54,,325,0.254
,6/11/2022 18:56,,326,0.254
,6/11/2022 18:57,,327,0.254
,6/11/2022 18:59,,328,0.254
,6/11/2022 19:00,10.259,,
,6/11/2022 19:00,,329,0.254
,6/11/2022 19:02,,330,0.254
,6/11/2022 19:04,,331,0.254
,6/11/2022 19:05,,332,0.254
,6/11/2022 19:06,,333,0.254
,6/11/2022 19:08,,334,0.254
,6/11/2022 19:09,,335,0.254
,6/11/2022 19:10,,336,0.254
,6/11/2022 19:11,,337,0.254
,6/11/2022 19:13,,338,0.254
,6/11/2022 19:14,,339,0.254
,6/11/2022 19:15,,340,0.254
,6/11/2022 19:16,,341,0.254
,6/11/2022 19:17,,342,0.254
,6/11/2022 19:18,,343,0.254
,6/11/2022 19:20,,344,0.254
,6/11/2022 19:21,,345,0.254
,6/11/2022 19:22,,346,0.254
,6/11/2022 19:23,,347,0.254
,6/11/2022 19:25,,348,0.254
,6/11/2022 19:26,,349,0.254
,6/11/2022 19:28,,350,0.254
,6/11/2022 19:30,,351,0.254
,6/11/2022 19:32,,352,0.254
,6/11/2022 19:34,,353,0.254
,6/11/2022 19:36,,354,0.254
,6/11/2022 19:39,,355,0.254
,6/11/2022 19:48,,356,0.254
,6/11/2022 20:00,8.282,,
,6/11/2022 20:51,,357,0.254
,6/11/2022 20:58,,358,0.254
,6/11/2022 21:00,7.481,,
,6/11/2022 21:00,,359,0.254
,6/11/2022 21:04,,360,0.254
,6/11/2022 21:08,,361,0.254
,6/11/2022 21:13,,362,0.254
,6/11/2022 21:15,,363,0.254
,6/11/2022 21:18,,364,0.254
,6/11/2022 21:19,,365,0.254
,6/11/2022 21:21,,366,0.254
,6/11/2022 21:23,,367,0.254
,6/11/2022 21:25,,368,0.254
,6/11/2022 21:28,,369,0.254
,6/11/2022 21:31,,370,0.254
,6/11/2022 21:33,,371,0.254
,6/11/2022 21:35,,372,0.254
,6/11/2022 21:36,,373,0.254
,6/11/2022 21:39,,374,0.254
,6/11/2022 21:41,,375,0.254
,6/11/2022 21:45,,376,0.254
,6/11/2022 21:54,,377,0.254
,6/11/2022 22:00,6.978,,
,6/11/2022 22:21,,378,0.254
,6/11/2022 22:34,,379,0.254
,6/11/2022 23:00,6.573,,
,6/11/2022 23:18,,380,0.254
,6/11/2022 23:54,,381,0.254
,6/12/2022 0:00,6.471,,
,6/12/2022 1:00,6.268,,
,6/12/2022 2:00,5.552,,
,6/12/2022 3:00,4.727,,
,6/12/2022 4:00,3.893,,
,6/12/2022 5:00,3.893,,
,6/12/2022 6:00,5.655,,
,6/12/2022 7:00,7.481,,
,6/12/2022 7:41,,382,0.254
,6/12/2022 7:48,,383,0.254
,6/12/2022 8:00,7.983,,
,6/12/2022 8:25,,384,0.254
,6/12/2022 8:43,,385,0.254
,6/12/2022 9:00,9.176,,
,6/12/2022 9:26,,386,0.254
,6/12/2022 10:00,9.965,,
,6/12/2022 10:07,,387,0.254
,6/12/2022 11:00,14.709,,
,6/12/2022 12:00,21.187,,
,6/12/2022 13:00,32.394,,
,6/12/2022 14:00,30.154,,
,6/12/2022 15:00,25.028,,
,6/12/2022 16:00,19.758,,
,6/12/2022 17:00,17.379,,
